question|description
7_65|<strong>Course:&nbsp;</strong>COMPSCI 689-01 Machine Learning &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 10:00 AM - 11:15 AM &nbsp; <strong>Instructor:&nbsp;</strong>Marlin
7_66|<strong>Course:&nbsp;</strong>COMPSCI 690K-01 Advanced Robot Dynamics and Control &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 02:30 PM - 03:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Kim
7_67|<strong>Course:&nbsp;</strong>COMPSCI 692P-01 Seminar- Hot Topics in Software Engineering Research  &nbsp; <strong>Schedule:&nbsp;</strong>Thu 02:30 PM - 03:30 PM <strong> &nbsp;Instructor:&nbsp;</strong>Brun, Zhai
7_68|<strong>Course:&nbsp;</strong>COMPSCI 692X-01 Seminar - Machine Learning on Biological Sequence Data &nbsp; <strong>Schedule:&nbsp;</strong>Mon 02:30 PM - 03:30 PM &nbsp; <strong>Instructor:&nbsp;</strong>Green
7_69|<strong>Course:&nbsp;</strong>COMPSCI 698W-01 Practicum - CS Research Writing Practicum  &nbsp; <strong>Schedule:&nbsp;</strong>MonWed 10:10 AM - 11:25 AM <strong> &nbsp;Instructors:&nbsp;</strong>Obara
7_70|<strong>Course:&nbsp;</strong>COMPSCI 879-01 Teaching Assistants as Tomorrow&#39;s Faculty &nbsp; <strong>Schedule:&nbsp;</strong>Wed 05:30 PM - 06:20 PM &nbsp; <strong>Instructor:&nbsp;</strong>Thota
7_71|<strong>Course:&nbsp;</strong>COMPSCI 891M-01 Seminar - Theory of Computation &nbsp; <strong>Schedule:&nbsp;</strong>Thu 04:00 PM - 05:00 PM &nbsp; <strong>Instructor:&nbsp;</strong>Le
7 _1.1|<strong>Course:&nbsp;</strong>INFO 101-01 Introduction to Informatics &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 01:00 PM - 02:15 PM <strong> &nbsp;Instructor:&nbsp;</strong>Trim
7 _2.1|<strong>Course:&nbsp;</strong>INFO 150-01 A Mathematical Foundation for Informatics &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 04:00 PM - 05:15 PM &nbsp; <strong>Instructor:&nbsp;</strong>Barrington
7 _3.1|<strong>Course:&nbsp;</strong>INFO 203-01 A Networked World &nbsp; <strong>Schedule:&nbsp;</strong>TueThu 10:00 AM - 11:15 AM &nbsp; <strong>Instructor:&nbsp;</strong>Hajiesmaili
7 _4.1|<strong>Course:&nbsp;</strong>INFO 248-01<strong>&nbsp;</strong>Introduction to Data Science <strong>Schedule:&nbsp;</strong>MonWed 02:30 PM - 03:45 PM &nbsp; <strong>Instructor:&nbsp;</strong>Anderson
7 _5.1|<strong>Course:&nbsp;</strong>INFO 324-01 Introduction to Clinical Health Informatics  &nbsp; <strong>Schedule: </strong>TueThu 02:30 PM - 03:45 PM <strong> &nbsp;Instructor:&nbsp;</strong>Lee
7 _6.1|<strong>Course:&nbsp;</strong>INFO 348-01 Data Analytics with Python  &nbsp; <strong>Schedule: </strong>MonWed 02:30 PM - 03:45 PM <strong> &nbsp;Instructor:&nbsp;</strong>Rattigan
7 _7.1|<strong>Course:&nbsp;</strong>INFO 390C Introduction to Computational Biology and Bioinformatics  &nbsp; <strong>Schedule: </strong>TueThu 11:30 AM - 12:45 PM <strong> &nbsp;Instructor:&nbsp;</strong>Green
8|Please include any additional comments which may be relevant to your individual preferences of course selection; i.e., courses which you would prefer to only take together, courses you would like to take only if not paired with another given course, or any other information which may be helpful in representing your specific enrollment preferences.
